Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1998","1998","°C","0.446","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1999","1999","°C","1.303","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2000","2000","°C","-0.599","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2001","2001","°C","1.036","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2002","2002","°C","0.622","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2003","2003","°C","0.987","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2004","2004","°C","0.523","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2005","2005","°C","0.675","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2006","2006","°C","2.567","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2007","2007","°C","0.611","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2008","2008","°C","-0.745","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2009","2009","°C","1.772","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2010","2010","°C","1.117","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2011","2011","°C","0.445","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2012","2012","°C","0.135","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2013","2013","°C","0.634","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2014","2014","°C","-0.346","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2015","2015","°C","1.085","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2016","2016","°C","1.893","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2017","2017","°C","1.428","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2018","2018","°C","1.438","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2019","2019","°C","0.517","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2020","2020","°C","0.445","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","2021","2021","°C","1.127","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1961","1961","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1962","1962","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1963","1963","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1964","1964","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1965","1965","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1966","1966","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1967","1967","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1968","1968","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1969","1969","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1970","1970","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1971","1971","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1972","1972","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1973","1973","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1974","1974","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1975","1975","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1976","1976","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1977","1977","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1978","1978","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1979","1979","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1980","1980","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1981","1981","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1982","1982","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1983","1983","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1984","1984","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1985","1985","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1986","1986","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1987","1987","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1988","1988","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1989","1989","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1990","1990","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1991","1991","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1992","1992","°C","0.808","E","Estimated value"
